,Fecha Accion,PEA,Anio Accion,Periodo Accion,Pais,Tipo de Accion,Accion,ID Evento,Nombre Evento,Institucion Accion,Referente Ternium,ID Candidato,Correo electronico,Correo institucional,Nombres,Apellidos,Genero,Nacionalidad,Universidad,Carrera/Titulacion,Carrera Gestional,Especialidad,Avance,Semestres Totales,Status Academico,Postulados Si/No,Evaluados Si/No,Perfil Pymetrics,Altamente Recomendado,Operaciones-Calidad,MTTO-DIMA,Comercial-Planeamiento,DIGI-SC,Resto-Soft,Apto/ No Apto/ Destacado,Actividad Grupal.1,Apto AG,Ingles,Apto,Destacado,Ingresados Si/No,Situacion Academica
0,01/01/21,PEA 20-21,2021,Enero-Junio,México,Targetizada,Ternium Contact,12021010107,Evento ,TM,,12021010107,@,@,N1,A1,F,,Otros ,Ing. Industrial,Ing. Industrial,Ingenierías Target,0.0,0.0,,Si,Si,DIGI - Supply Chain,Si,Highly Recommend,Recommend,Highly Recommend,Do Not Recommend,Do Not Recommend,2,5,,4.0,1.0,Si,Si,Indefinido
1,01/01/21,PEA 20-21,2021,Enero-Junio,México,Targetizada,Ternium Contact,12021010102,Evento 4,U,,12021010102,@,@,N2,A2,F,,Otros ,Ing. Industrial,Ing. Industrial,Ingenierías Target,6.0,9.0,,Si,Si,DIGI - Supply Chain,Si,Highly Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,2,5,,4.0,1.0,Si,No,En curso
2,01/01/21,PEA 20-21,2021,Enero-Junio,México,Targetizada,Ternium Contact,12021010102,Evento 5,U,,12021010102,@,@,N3,A3,F,,Otros ,Ing. Industrial,Ing. Industrial,Ingenierías Target,8.0,9.0,,Si,,,,,,,,, ,,,,,,No,En curso
3,01/01/21,PEA 20-21,2021,Enero-Junio,México,Targetizada,Ternium Contact,12021010101,Evento 0,IY,,12021010101,@,@,N4,A4,F,,Otros ,Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,6.0,9.0,,Si,Si,Calidad - Operaciones ,Si,Highly Recommend,Highly Recommend,Do Not Recommend,Recommend,Highly Recommend,2,5,,4.0,1.0,Si,Si,En curso
4,01/01/21,PEA 20-21,2021,Enero-Junio,México,Targetizada,Ternium Contact,12021010107,Evento 4,TM,,12021010107,@,@,N5,A5,F,,Otros ,Comercio Exterior,Negocios Internacionales,Negocios,0.0,0.0,,Si,Si,DIGI - Supply Chain,,,,,,, ,,,,,,No,Indefinido
5,01/01/21,PEA 20-21,2021,Enero-Junio,México,Targetizada,Ternium Contact,12021010101,Evento 0,IY,,12021010101,@,@,N6,A6,M,,Otros ,Ing. Química,Ing. Química,Ingenierías Target,6.0,9.0,,Si,Si,Calidad - Operaciones ,,Do Not Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend, ,,,,,,No,En curso
6,01/01/21,PEA 20-21,2021,Enero-Junio,México,Targetizada,Ternium Contact,12021010103,Evento,UL,,12021010103,@,@,N7,A7,F,,Otros ,Ing. Mecánica,Ing. Mecánica,Ingenierías Target,9.0,10.0,,Si,Si,MTTO-DIMA,Si,Highly Recommend,Do Not Recommend,Recommend,Highly Recommend,Recommend, ,,,,,,No,En curso
7,01/01/21,PEA 20-21,2021,Enero-Junio,México,Targetizada,Ternium Contact,12021010101,Evento 0,IY,,12021010101,@,@,N8,A8,M,,Otros ,Ing. Mecánica,Ing. Mecánica,Ingenierías Target,8.0,9.0,,Si,Si,MTTO-DIMA,,Do Not Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend, ,,,,,,No,En curso
8,01/01/21,PEA 20-21,2021,Enero-Junio,México,Targetizada,Ternium Contact,12021010101,Evento 0,IY,,12021010101,@,@,N9,A9,F,,Otros ,Ing. Industrial,Ing. Industrial,Ingenierías Target,6.0,9.0,,Si,Si,DIGI - Supply Chain,,Do Not Recommend,Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,1,4,,4.0,1.0,,Si,En curso
9,01/01/21,PEA 20-21,2021,Enero-Junio,México,Targetizada,Ternium Contact,12021010103,Evento 1,UL,,12021010103,@,@,N10,A10,M,,Otros ,Ing. Materiales,Ing. Materiales,Ingenierías Target,8.0,10.0,,Si,Si,Calidad - Operaciones ,,,,,,, ,,,,,,No,En curso
10,01/01/21,PEA 20-21,2021,Enero-Junio,México,Targetizada,Ternium Contact,12021010103,Evento 1,UL,,12021010103,@,@,N11,A11,F,,Otros ,Maestría en Materiales,Maestría en Materiales,Ingenierías Target,0.0,0.0,,Si,,,,,,,,, ,,,,,,No,Indefinido
11,01/01/21,PEA 20-21,2021,Enero-Junio,México,Targetizada,Ternium Contact,12021010103,Evento 1,UL,,12021010103,@,@,N12,A12,F,,Otros ,Relaciones Internacionales,Negocios Internacionales,Negocios,9.0,10.0,,Si,Si,DIGI - Supply Chain,,,,,,, ,,,,,,No,En curso
12,01/01/21,PEA 20-21,2021,Enero-Junio,México,Targetizada,Ternium Contact,12021010103,Evento 1,UL,,12021010103,@,@,N13,A13,M,,Otros ,Maestría en Diseño Automotriz,Maestría en Diseño Automotriz,Ingenierías Target,0.0,0.0,,Si,,,,,,,,, ,,,,,,No,Indefinido
13,01/01/21,PEA 20-21,2021,Enero-Junio,México,Targetizada,Ternium Contact,12021010103,Evento 1,UL,,12021010103,@,@,N14,A14,F,,Otros ,Maestría en Diseño Automotriz,Maestría en Diseño Automotriz,Ingenierías Target,0.0,0.0,,Si,,,,,,,,, ,,,,,,No,Indefinido
14,01/01/21,PEA 20-21,2021,Enero-Junio,México,Targetizada,Ternium Contact,12021010103,Evento 1,UL,,12021010103,@,@,N15,A15,F,,Otros ,Maestría en Diseño Automotriz,Maestría en Diseño Automotriz,Ingenierías Target,0.0,0.0,,Si,,,,,,,,, ,,,,,,No,Indefinido
15,01/01/21,PEA 20-21,2021,Enero-Junio,México,Targetizada,Ternium Contact,12021010101,Evento 2,IY,,12021010101,@,@,N16,A16,F,,Otros ,Ingeniería en Nanotecnología,Ing. Química,Ingenierías Target,6.0,10.0,,Si,Si,Calidad - Operaciones ,Si,Recommend,Recommend,Do Not Recommend,Highly Recommend,Do Not Recommend,1,2,,4.0,,,Si,En curso
16,01/01/21,PEA 20-21,2021,Enero-Junio,México,Targetizada,Ternium Contact,12021010101,Evento 2,IY,,12021010101,@,@,N17,A17,F,,Otros ,Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,8.0,10.0,,Si,Si,MTTO-DIMA,,,,,,, ,,,,,,No,En curso
17,01/01/21,PEA 20-21,2021,Enero-Junio,México,Targetizada,Ternium Contact,12021010109,Evento 3,UP,,12021010109,@,@,N18,A18,F,,Otros ,Maestría en Metalurgia,Maestría en Metalurgia,Ingenierías Target,0.0,0.0,,Si,,,,,,,,, ,,,,,,No,Indefinido
18,01/02/21,PEA 20-21,2021,Enero-Junio,México,Targetizada,Ternium Projects,120210201,Evento 4,U,,120210201,@,@,N19,A19,M,,Otros ,Ingeniero industrial  de sistemas,Ing. Industrial,Ingenierías Target,10.0,9.0,,Si,Si,DIGI - Supply Chain,Si,Highly Recommend,Highly Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend, ,,,,,,No,En curso
19,01/02/21,PEA 20-21,2021,Enero-Junio,México,Targetizada,Ternium Projects,120210201,Evento 4,U,,120210201,@,@,N20,A20,M,,Otros ,Ingeniero industrial  de sistemas,Ing. Industrial,Ingenierías Target,10.0,9.0,,,,,,,,,,, ,,,,,,No,En curso
20,01/02/21,PEA 20-21,2021,Enero-Junio,México,Targetizada,Ternium Projects,120210201,Evento 4,U,,120210201,@,@,N21,A21,M,,Otros ,Ingeniero industrial  de sistemas,Ing. Industrial,Ingenierías Target,8.0,9.0,,,,,,,,,,, ,,,,,,No,En curso
21,01/02/21,PEA 20-21,2021,Enero-Junio,México,Targetizada,Ternium Projects,120210201,Evento 4,U,,120210201,@,@,N22,A22,M,,Otros ,Ingeniero industrial  de sistemas,Ing. Industrial,Ingenierías Target,8.0,9.0,,,,,,,,,,, ,,,,,,No,En curso
22,02/02/21,PEA 20-21,2021,Enero-Junio,México,Targetizada,Ternium Projects,120210202,Evento 4,U,,120210202,@,@,N23,A23,M,,Otros ,Ingeniero en Gestión Empresarial,Ing. Gestión Empresarial,Otras Ingenierías,8.0,9.0,,,,,,,,,,, ,,,,,,No,En curso
23,02/02/21,PEA 20-21,2021,Enero-Junio,México,Targetizada,Ternium Projects,120210202,Evento 4,U,,120210202,@,@,N24,A24,M,,Otros ,Ingeniero en Gestión Empresarial,Ing. Gestión Empresarial,Otras Ingenierías,8.0,9.0,,Si,Si,DIGI - Supply Chain,Si,Highly Recommend,Do Not Recommend,Highly Recommend,Highly Recommend,Highly Recommend,1,3,,3.0,1.0,,No,En curso
24,02/02/21,PEA 20-21,2021,Enero-Junio,México,Targetizada,Ternium Projects,120210202,Evento 4,U,,120210202,@,@,N25,A25,M,,Otros ,Ingeniero en Gestión Empresarial,Ing. Gestión Empresarial,Otras Ingenierías,8.0,9.0,,Si,Si,DIGI - Supply Chain,Si,Recommend,Highly Recommend,Do Not Recommend,Recommend,Highly Recommend,2,4,,3.0,1.0,Si,Si,En curso
25,02/02/21,PEA 20-21,2021,Enero-Junio,México,Targetizada,Ternium Projects,120210202,Evento 4,U,,120210202,@,@,N26,A26,M,,Otros ,Ingeniero en Gestión Empresarial,Ing. Gestión Empresarial,Otras Ingenierías,8.0,9.0,,,,,,,,,,, ,,,,,,No,En curso
26,03/02/21,PEA 20-21,2021,Enero-Junio,México,Targetizada,Ternium Projects,120210203,Evento 4,U,,120210203,@,@,N27,A27,F,,Otros ,Ingeniería en Tecnologías Computacionales ,Ing. Tecnologías Computacionales,Tecnologías de Información,9.0,9.0,,,,,,,,,,, ,,,,,,No,Egresado
27,03/02/21,PEA 20-21,2021,Enero-Junio,México,Targetizada,Ternium Projects,120210203,Evento 4,U,,120210203,@,@,N28,A28,M,,Otros ,Ingeniería en Tecnologías Computacionales ,Ing. Tecnologías Computacionales,Tecnologías de Información,9.0,9.0,,,,,,,,,,, ,,,,,,No,Egresado
28,04/02/21,PEA 20-21,2021,Enero-Junio,México,Targetizada,Ternium Projects,120210204,Evento 5,U,,120210204,@,@,N29,A29,M,,Otros ,Ingeniero en Tecnologías Computacionales,Ing. Tecnologías Computacionales,Tecnologías de Información,8.0,9.0,,,,,,,,,,, ,,,,,,No,En curso
29,04/02/21,PEA 20-21,2021,Enero-Junio,México,Targetizada,Ternium Projects,120210204,Evento 5,U,,120210204,@,@,N30,A30,F,,Otros ,Ingeniero en Tecnologías Computacionales,Ing. Tecnologías Computacionales,Tecnologías de Información,8.0,9.0,,,,,,,,,,, ,,,,,,No,En curso
30,04/02/21,PEA 20-21,2021,Enero-Junio,México,Targetizada,Ternium Projects,120210204,Evento 5,U,,120210204,@,@,N31,A31,M,,Otros ,Ingeniero en Tecnologías Computacionales,Ing. Tecnologías Computacionales,Tecnologías de Información,8.0,9.0,,,,,,,,,,, ,,,,,,No,En curso
31,05/02/21,PEA 20-21,2021,Enero-Junio,México,Targetizada,Ternium Projects,120210205,Evento 6,E,,120210205,@,@,N32,A32,M,,Otros ,Master en Business Management,Master en Business Management,Negocios,0.0,0.0,,,,,,,,,,, ,,,,,,No,Indefinido
32,05/02/21,PEA 20-21,2021,Enero-Junio,México,Targetizada,Ternium Projects,120210205,Evento 6,E,,120210205,@,@,N33,A33,M,,Otros ,Master en Business Management,Master en Business Management,Negocios,0.0,0.0,,,,,,,,,,, ,,,,,,No,Indefinido
33,05/02/21,PEA 20-21,2021,Enero-Junio,México,Targetizada,Ternium Projects,120210205,Evento 6,E,,120210205,@,@,N34,A34,F,,Otros ,Master en Business Management,Master en Business Management,Negocios,0.0,0.0,,,,,,,,,,, ,,,,,,No,Indefinido
34,06/02/21,PEA 20-21,2021,Enero-Junio,México,Targetizada,Ternium Projects,120210206,Evento 7,IY,,120210206,@,@,N35,A35,M,,Otros ,Tecnologías Computacionales,Tecnologías Computacionales,Tecnologías de Información,10.0,10.0,,,,,,,,,,, ,,,,,,No,Egresado
35,06/02/21,PEA 20-21,2021,Enero-Junio,México,Targetizada,Ternium Projects,120210206,Evento 7,IY,,120210206,@,@,N36,A36,M,,Otros ,Tecnologías Computacionales,Tecnologías Computacionales,Tecnologías de Información,9.0,10.0,,,,,,,,,,, ,,,,,,No,En curso
36,06/02/21,PEA 20-21,2021,Enero-Junio,México,Targetizada,Ternium Projects,120210206,Evento 7,IY,,120210206,@,@,N37,A37,M,,Otros ,Tecnologías Computacionales,Tecnologías Computacionales,Tecnologías de Información,10.0,10.0,,,,,,,,,,, ,,,,,,No,Egresado
37,06/02/21,PEA 20-21,2021,Enero-Junio,México,Targetizada,Ternium Projects,120210206,Evento 7,IY,,120210206,@,@,N38,A38,M,,Otros ,Tecnologías Computacionales,Tecnologías Computacionales,Tecnologías de Información,10.0,10.0,,,,,,,,,,, ,,,,,,No,Egresado
38,07/02/21,PEA 20-21,2021,Enero-Junio,México,Targetizada,Ternium Projects,120210207,Evento 8,IY,,120210207,@,@,N39,A39,M,,Otros ,Tecnologías Computacionales,Tecnologías Computacionales,Tecnologías de Información,10.0,10.0,,,,,,,,,,, ,,,,,,No,Egresado
